channel_label,x_position,y_position
Fp1,-0.15006947847394486,0.7544502156947926
AFp1,-0.07572907002841894,0.6852702355678613
Fpz,0.0,0.7692307692307692
AFp2,0.07572907002841894,0.6852702355678613
Fp2,0.15006947847394486,0.7544502156947926
AF7,-0.2943718710500691,0.7106765634702206
AF3,-0.17850109968791833,0.6094408754530025
AF4,0.17850109968791833,0.6094408754530025
AF8,0.2943718710500691,0.7106765634702206
FAF5,-0.29895291797929596,0.5381010360372348
FAF1,-0.0817313662544627,0.4844503534452925
FAF2,0.0817313662544627,0.4844503534452925
FAF6,0.29895291797929596,0.5381010360372348
F7,-0.5439282932204212,0.5439282932204211
F5,-0.4309397757650841,0.46644585208388023
F3,-0.296077061122885,0.4187161953475518
F1,-0.15032628186397615,0.39282150506207697
Fz,0.0,0.3846153846153846
F2,0.15032628186397615,0.39282150506207697
F4,0.296077061122885,0.4187161953475518
F6,0.4309397757650841,0.46644585208388023
F8,0.5439282932204212,0.5439282932204211
FFC7,-0.5697813770900833,0.38817440683786614
FFC5,-0.41631390776217586,0.33455469174040403
FFC3,-0.25280412557991805,0.30404493662713766
FFC1,-0.08471341645926107,0.2901409697737846
FFC2,0.08471341645926107,0.2901409697737846
FFC4,0.25280412557991805,0.30404493662713766
FFC6,0.41631390776217586,0.33455469174040403
FFC8,0.5697813770900833,0.38817440683786614
FT9,-0.8633905653515869,0.38709384633892435
FT7,-0.7106765634702206,0.29437187105006907
FC5,-0.5404355220854532,0.24229968838847968
FC3,-0.36291974845713176,0.21259346659315567
FC1,-0.1821179016172887,0.19712299624417082
FCz,0.0,0.1923076923076923
FC2,0.1821179016172887,0.19712299624417082
FC4,0.36291974845713176,0.21259346659315567
FC6,0.5404355220854532,0.24229968838847968
FT8,0.7106765634702206,0.29437187105006907
FT10,0.8633905653515869,0.38709384633892435
CFC7,-0.6614810928250369,0.13415451147127352
CFC5,-0.47366439296954455,0.11331467122184849
CFC3,-0.2845659923960465,0.1018839596851515
CFC1,-0.09490864165361916,0.09676801186759182
CFC2,0.09490864165361916,0.09676801186759182
CFC4,0.2845659923960465,0.1018839596851515
CFC6,0.47366439296954455,0.11331467122184849
CFC8,0.6614810928250369,0.13415451147127352
T7,-0.7692307692307692,0.0
C5,-0.5769230769230769,0.0
C3,-0.3846153846153846,0.0
C1,-0.1923076923076923,0.0
Cz,0.0,0.0
C2,0.1923076923076923,0.0
C4,0.3846153846153846,0.0
C6,0.5769230769230769,0.0
T8,0.7692307692307692,0.0
CCP7,-0.6614810928250369,-0.13415451147127352
CCP5,-0.47366439296954455,-0.11331467122184849
CCP3,-0.2845659923960465,-0.1018839596851515
CCP1,-0.09490864165361916,-0.09676801186759182
CCP2,0.09490864165361916,-0.09676801186759182
CCP4,0.2845659923960465,-0.1018839596851515
CCP6,0.47366439296954455,-0.11331467122184849
CCP8,0.6614810928250369,-0.13415451147127352
TP9,-0.8633905653515869,-0.38709384633892435
TP7,-0.7106765634702206,-0.29437187105006907
CP5,-0.5404355220854532,-0.24229968838847968
CP3,-0.36291974845713176,-0.21259346659315567
CP1,-0.1821179016172887,-0.19712299624417082
CPz,0.0,-0.1923076923076923
CP2,0.1821179016172887,-0.19712299624417082
CP4,0.36291974845713176,-0.21259346659315567
CP6,0.5404355220854532,-0.24229968838847968
TP8,0.7106765634702206,-0.29437187105006907
TP10,0.8633905653515869,-0.38709384633892435
PCP7,-0.5697813770900833,-0.38817440683786614
PCP5,-0.41631390776217586,-0.33455469174040403
PCP3,-0.25280412557991805,-0.30404493662713766
PCP1,-0.08471341645926107,-0.2901409697737846
PCP2,0.08471341645926107,-0.2901409697737846
PCP4,0.25280412557991805,-0.30404493662713766
PCP6,0.41631390776217586,-0.33455469174040403
PCP8,0.5697813770900833,-0.38817440683786614
P9,-0.6130576773823729,-0.6635688483280512
P7,-0.5439282932204212,-0.5439282932204211
P5,-0.4309397757650841,-0.46644585208388023
P3,-0.296077061122885,-0.4187161953475518
P1,-0.15032628186397615,-0.39282150506207697
Pz,0.0,-0.3846153846153846
P2,0.15032628186397615,-0.39282150506207697
P4,0.296077061122885,-0.4187161953475518
P6,0.4309397757650841,-0.46644585208388023
P8,0.5439282932204212,-0.5439282932204211
P10,0.6130576773823729,-0.6635688483280512
PPO7,-0.4507843886633593,-0.6878636203796364
PPO5,-0.29895291797929596,-0.5381010360372348
PPO1,-0.0817313662544627,-0.4844503534452925
PPO2,0.0817313662544627,-0.4844503534452925
PPO6,0.29895291797929596,-0.5381010360372348
PPO8,0.4507843886633593,-0.6878636203796364
PO7,-0.2943718710500691,-0.7106765634702206
PO3,-0.17850109968791833,-0.6094408754530025
PO1,-0.09272407641349512,-0.5849631938662423
POz,0.0,-0.5769230769230769
PO2,0.09272407641349512,-0.5849631938662423
PO4,0.17850109968791833,-0.6094408754530025
PO8,0.2943718710500691,-0.7106765634702206
OPO1,-0.07572907002841894,-0.6852702355678613
OPO2,0.07572907002841894,-0.6852702355678613
O1,-0.15006947847394486,-0.7544502156947926
Oz,0.0,-0.7692307692307692
O2,0.15006947847394486,-0.7544502156947926
OI1,-0.0932572577886865,-0.8438823161209275
OI2,0.0932572577886865,-0.8438823161209275
I1,-0.1481344017643842,-0.934527213742598
I2,0.1481344017643842,-0.934527213742598
