subject,session,run,trial_index,trial_type
A02,T,1,1,left
A02,T,1,2,left
A02,T,1,3,right
A02,T,1,4,left
A02,T,1,5,right
A02,T,1,6,left
A02,T,1,7,right
A02,T,1,8,left
A02,T,1,9,right
A02,T,1,10,right
A02,T,1,11,right
A02,T,1,12,right
A02,T,1,13,left
A02,T,1,14,left
A02,T,1,15,left
A02,T,1,16,left
A02,T,1,17,right
A02,T,1,18,right
A02,T,1,19,right
A02,T,1,20,left
A02,T,1,21,right
A02,T,1,22,right
A02,T,1,23,left
A02,T,1,24,right
A02,T,1,25,left
A02,T,1,26,left
A02,T,1,27,right
A02,T,1,28,left
A02,T,1,29,left
A02,T,1,30,right
A02,T,1,31,left
A02,T,1,32,right
A02,T,1,33,left
A02,T,1,34,right
A02,T,1,35,left
A02,T,1,36,left
A02,T,1,37,right
A02,T,1,38,right
A02,T,1,39,left
A02,T,1,40,right
