subject,session,run,trial_index,trial_type
A04,T,2,1,left
A04,T,2,2,right
A04,T,2,3,right
A04,T,2,4,left
A04,T,2,5,left
A04,T,2,6,right
A04,T,2,7,right
A04,T,2,8,left
A04,T,2,9,left
A04,T,2,10,left
A04,T,2,11,right
A04,T,2,12,right
A04,T,2,13,right
A04,T,2,14,left
A04,T,2,15,left
A04,T,2,16,right
A04,T,2,17,right
A04,T,2,18,left
A04,T,2,19,right
A04,T,2,20,right
A04,T,2,21,right
A04,T,2,22,left
A04,T,2,23,left
A04,T,2,24,right
A04,T,2,25,right
A04,T,2,26,left
A04,T,2,27,right
A04,T,2,28,right
A04,T,2,29,left
A04,T,2,30,left
A04,T,2,31,left
A04,T,2,32,left
A04,T,2,33,left
A04,T,2,34,left
A04,T,2,35,left
A04,T,2,36,right
A04,T,2,37,right
A04,T,2,38,right
A04,T,2,39,left
A04,T,2,40,right
A04,T,3,1,right
A04,T,3,2,left
A04,T,3,3,right
A04,T,3,4,left
A04,T,3,5,left
A04,T,3,6,right
A04,T,3,7,right
A04,T,3,8,right
A04,T,3,9,right
A04,T,3,10,left
A04,T,3,11,right
A04,T,3,12,left
A04,T,3,13,right
A04,T,3,14,right
A04,T,3,15,left
A04,T,3,16,left
A04,T,3,17,left
A04,T,3,18,left
A04,T,3,19,left
A04,T,3,20,right
A04,T,3,21,right
A04,T,3,22,right
A04,T,3,23,right
A04,T,3,24,left
A04,T,3,25,right
A04,T,3,26,right
A04,T,3,27,right
A04,T,3,28,left
A04,T,3,29,left
A04,T,3,30,left
A04,T,3,31,left
A04,T,3,32,left
A04,T,3,33,left
A04,T,3,34,right
A04,T,3,35,right
A04,T,3,36,right
A04,T,3,37,left
A04,T,3,38,left
A04,T,3,39,right
A04,T,3,40,left
A04,T,4,1,left
A04,T,4,2,right
A04,T,4,3,left
A04,T,4,4,right
A04,T,4,5,right
A04,T,4,6,left
A04,T,4,7,right
A04,T,4,8,left
A04,T,4,9,right
A04,T,4,10,left
A04,T,4,11,left
A04,T,4,12,right
A04,T,4,13,left
A04,T,4,14,left
A04,T,4,15,left
A04,T,4,16,left
A04,T,4,17,right
A04,T,4,18,right
A04,T,4,19,left
A04,T,4,20,right
A04,T,4,21,right
A04,T,4,22,right
A04,T,4,23,left
A04,T,4,24,right
A04,T,4,25,right
A04,T,4,26,left
A04,T,4,27,left
A04,T,4,28,right
A04,T,4,29,right
A04,T,4,30,right
A04,T,4,31,left
A04,T,4,32,right
A04,T,4,33,left
A04,T,4,34,right
A04,T,4,35,left
A04,T,4,36,left
A04,T,4,37,right
A04,T,4,38,left
A04,T,4,39,left
A04,T,4,40,right
A04,T,5,1,right
A04,T,5,2,left
A04,T,5,3,left
A04,T,5,4,left
A04,T,5,5,right
A04,T,5,6,left
A04,T,5,7,right
A04,T,5,8,right
A04,T,5,9,left
A04,T,5,10,right
A04,T,5,11,left
A04,T,5,12,right
A04,T,5,13,right
A04,T,5,14,right
A04,T,5,15,right
A04,T,5,16,right
A04,T,5,17,left
A04,T,5,18,left
A04,T,5,19,right
A04,T,5,20,left
A04,T,5,21,left
A04,T,5,22,left
A04,T,5,23,right
A04,T,5,24,right
A04,T,5,25,left
A04,T,5,26,left
A04,T,5,27,left
A04,T,5,28,right
A04,T,5,29,right
A04,T,5,30,right
A04,T,5,31,right
A04,T,5,32,left
A04,T,5,33,right
A04,T,5,34,left
A04,T,5,35,left
A04,T,5,36,right
A04,T,5,37,left
A04,T,5,38,left
A04,T,5,39,left
A04,T,5,40,right
