subject,session,run,trial_index,trial_type
A03,T,2,1,left
A03,T,2,2,right
A03,T,2,3,left
A03,T,2,4,left
A03,T,2,5,left
A03,T,2,6,right
A03,T,2,7,right
A03,T,2,8,right
A03,T,2,9,left
A03,T,2,10,right
A03,T,2,11,left
A03,T,2,12,left
A03,T,2,13,right
A03,T,2,14,right
A03,T,2,15,left
A03,T,2,16,left
A03,T,2,17,right
A03,T,2,18,right
A03,T,2,19,left
A03,T,2,20,right
A03,T,2,21,right
A03,T,2,22,right
A03,T,2,23,left
A03,T,2,24,right
A03,T,2,25,right
A03,T,2,26,left
A03,T,2,27,left
A03,T,2,28,left
A03,T,2,29,right
A03,T,2,30,left
A03,T,2,31,right
A03,T,2,32,left
A03,T,2,33,left
A03,T,2,34,right
A03,T,2,35,right
A03,T,2,36,left
A03,T,2,37,left
A03,T,2,38,right
A03,T,2,39,right
A03,T,2,40,left
A03,T,3,1,right
A03,T,3,2,right
A03,T,3,3,left
A03,T,3,4,left
A03,T,3,5,right
A03,T,3,6,left
A03,T,3,7,right
A03,T,3,8,left
A03,T,3,9,right
A03,T,3,10,left
A03,T,3,11,right
A03,T,3,12,left
A03,T,3,13,left
A03,T,3,14,right
A03,T,3,15,right
A03,T,3,16,left
A03,T,3,17,left
A03,T,3,18,left
A03,T,3,19,right
A03,T,3,20,right
A03,T,3,21,right
A03,T,3,22,left
A03,T,3,23,left
A03,T,3,24,right
A03,T,3,25,right
A03,T,3,26,right
A03,T,3,27,left
A03,T,3,28,right
A03,T,3,29,left
A03,T,3,30,left
A03,T,3,31,left
A03,T,3,32,left
A03,T,3,33,right
A03,T,3,34,left
A03,T,3,35,right
A03,T,3,36,right
A03,T,3,37,left
A03,T,3,38,right
A03,T,3,39,left
A03,T,3,40,right
A03,T,4,1,left
A03,T,4,2,right
A03,T,4,3,left
A03,T,4,4,left
A03,T,4,5,right
A03,T,4,6,right
A03,T,4,7,right
A03,T,4,8,left
A03,T,4,9,right
A03,T,4,10,right
A03,T,4,11,right
A03,T,4,12,right
A03,T,4,13,left
A03,T,4,14,right
A03,T,4,15,left
A03,T,4,16,left
A03,T,4,17,left
A03,T,4,18,right
A03,T,4,19,right
A03,T,4,20,left
A03,T,4,21,right
A03,T,4,22,left
A03,T,4,23,right
A03,T,4,24,right
A03,T,4,25,left
A03,T,4,26,right
A03,T,4,27,right
A03,T,4,28,right
A03,T,4,29,left
A03,T,4,30,left
A03,T,4,31,left
A03,T,4,32,right
A03,T,4,33,left
A03,T,4,34,right
A03,T,4,35,left
A03,T,4,36,right
A03,T,4,37,left
A03,T,4,38,left
A03,T,4,39,left
A03,T,4,40,left
